,JOLTS_Openings_Thousands,Effective_JOLTS,Severity_Factor
2017-09-01,6320.0,6174.639999999999,0.023
2017-10-01,6408.0,6260.616,0.023
2017-11-01,6271.0,6125.5128,0.0232
2017-12-01,6336.0,6171.264,0.026000000000000002
2018-01-01,6621.0,6434.2878,0.0282
2018-02-01,6552.0,6365.9232,0.028399999999999998
2018-03-01,6818.0,6612.0964,0.0302
2018-04-01,6877.0,6644.5574,0.0338
2018-05-01,7016.0,6777.456,0.034
2018-06-01,7230.0,6966.828,0.0364
2018-07-01,7190.0,6912.606982195228,0.03858039190608796
2018-08-01,7208.0,6932.6544,0.0382
2018-09-01,7411.0,7121.971,0.039
2018-10-01,7304.0,6984.0848000000005,0.0438
2018-11-01,7594.0,7259.864,0.044000000000000004
2018-12-01,7489.0,7148.9994,0.0454
2019-01-01,7502.0,7141.9039999999995,0.048
2019-02-01,7066.0,6726.831999999999,0.048
2019-03-01,7317.0,6964.3206,0.04820000000000001
2019-04-01,7272.0,6920.0352,0.0484
2019-05-01,7275.0,6927.255,0.0478
2019-06-01,7194.0,6851.5656,0.047599999999999996
2019-07-01,7042.0,6703.9839999999995,0.048
2019-08-01,7178.0,6872.2172,0.0426
2019-09-01,7124.0,6833.3408,0.0408
2019-10-01,7289.0,7022.2226,0.0366
2019-11-01,6888.0,6674.472,0.031000000000000003
2019-12-01,6699.0,6491.331,0.031000000000000003
2020-01-01,7124.0,6903.156,0.031000000000000003
2020-02-01,6966.0,6745.874400000001,0.0316
2020-03-01,5894.0,5817.378,0.013000000000000001
2020-04-01,4606.0,4601.394,0.001
2020-05-01,5612.0,5606.388,0.001
2020-06-01,6129.0,6119.1936,0.0016
2020-07-01,6530.0,6518.246,0.0018
2020-08-01,6429.0,6416.142,0.002
2020-09-01,6511.0,6499.2802,0.0018
2020-10-01,6798.0,6785.7636,0.0018
2020-11-01,6820.0,6807.724,0.0018
2020-12-01,6773.0,6760.808599999999,0.0018
2021-01-01,7162.0,7149.1084,0.0018
2021-02-01,7827.0,7814.4767999999995,0.0016
2021-03-01,8499.0,8487.1014,0.0014000000000000002
2021-04-01,9346.0,7747.079164580969,0.17108076561299285
2021-05-01,9954.0,8710.313487110023,0.12494339088707831
2021-06-01,10319.0,9642.277245751073,0.06558026497227705
2021-07-01,10983.0,10478.922508039104,0.045896156966302115
2021-08-01,10872.0,10450.411339806313,0.03877747058440837
2021-09-01,10834.0,10626.492611845637,0.019153349469666136
2021-10-01,11238.0,10787.01345854424,0.040130498438846814
2021-11-01,11199.0,10375.691428117792,0.07351625786964973
2021-12-01,11520.0,10305.134647172199,0.10545706187741317
2022-01-01,11210.0,10160.724318839097,0.09360175567893876
2022-02-01,11698.0,10245.392714534948,0.12417569545777503
2022-03-01,12301.0,10734.681343728074,0.1273326279385355
2022-04-01,11861.0,10427.116529417992,0.12089060539431823
2022-05-01,11535.0,9773.429839297743,0.1527152284960777
2022-06-01,11283.0,9158.458735420401,0.18829577812457665
2022-07-01,11576.0,9595.130909158017,0.1711186153111596
2022-08-01,10092.0,8302.441958597403,0.1773244194810342
2022-09-01,10800.0,8719.874747488955,0.19260419004731896
2022-10-01,10447.0,8470.82745512197,0.18916172536403097
2022-11-01,10632.0,8820.034909781538,0.17042561044191706
2022-12-01,10902.0,9256.64911245841,0.15092193061287743
2023-01-01,10318.0,8534.842383368608,0.17282008302300755
2023-02-01,9857.0,8404.704649402682,0.14733644624097783
2023-03-01,9655.0,8621.313049731827,0.10706234596252444
2023-04-01,9966.0,8836.829771479312,0.11330225050378172
2023-05-01,9368.0,8419.9584,0.1012
2023-06-01,9180.0,8247.312,0.10160000000000001
2023-07-01,8657.0,7770.5232,0.1024
2023-08-01,9254.0,8267.5236,0.1066
2023-09-01,9259.0,8271.9906,0.1066
2023-10-01,8580.0,7665.371999999999,0.1066
2023-11-01,8602.0,7685.0268,0.1066
2023-12-01,8520.0,7611.768,0.1066
2024-01-01,8378.0,7484.9052,0.1066
2024-02-01,8440.0,7540.295999999999,0.1066
2024-03-01,8206.0,7331.2404,0.1066
2024-04-01,7529.0,6726.4086,0.1066
2024-05-01,7782.0,6952.4388,0.1066
2024-06-01,7416.0,6625.4544,0.1066
2024-07-01,7426.0,6634.3884,0.1066
2024-08-01,7520.0,6718.3679999999995,0.1066
2024-09-01,6943.0,6230.6482,0.1026
2024-10-01,7379.0,6666.1885999999995,0.0966
2024-11-01,7566.0,6863.8752,0.0928
2024-12-01,7295.0,6641.3679999999995,0.08960000000000001
2025-01-01,7431.0,6787.4754,0.0866
2025-02-01,7242.0,6614.8428,0.0866
2025-03-01,6952.0,6349.9568,0.0866
2025-04-01,7098.0,6483.3132,0.0866
2025-05-01,7310.0,6676.954,0.0866
2025-06-01,7204.0,6580.1336,0.0866
2025-07-01,7089.0,6475.0926,0.0866
2025-08-01,6919.0,6319.8146,0.0866
2025-09-01,7169.0,6563.9364,0.0844
2025-11-01,6846.0,6314.7504,0.0776
2025-12-01,6550.0,6062.68,0.07440000000000001
2026-01-01,7240.0,6712.928,0.0728
2026-02-01,6882.0,6380.990400000001,0.0728
